PlayedAt,TrackName,ArtistName,TrackId,TrackURL
"December 6, 2024 at 04:50PM",Fashion,Teto,0KeH4jaWKwZ4pNaBb0IW4g,https://open.spotify.com/track/0KeH4jaWKwZ4pNaBb0IW4g
"December 6, 2024 at 04:53PM",Mustang Preto,Teto,6Vgn3IEUkWs3d6og029Gtm,https://open.spotify.com/track/6Vgn3IEUkWs3d6og029Gtm
"December 6, 2024 at 04:55PM",Fim de Semana no Rio,Teto,7afaZ37wJJL6880z1NRgJS,https://open.spotify.com/track/7afaZ37wJJL6880z1NRgJS
"December 6, 2024 at 04:59PM",Vampiro,Matuê,6bTdZ7xfKp3NqqADJ8HLyj,https://open.spotify.com/track/6bTdZ7xfKp3NqqADJ8HLyj
"December 6, 2024 at 05:04PM",Anos Luz,Matuê,0GYPcKDlsb8WEtJkkKdtgH,https://open.spotify.com/track/0GYPcKDlsb8WEtJkkKdtgH
"December 6, 2024 at 05:06PM",Antes,Matuê,2XymTaHTrQWDEuSyhfZvqF,https://open.spotify.com/track/2XymTaHTrQWDEuSyhfZvqF
"December 6, 2024 at 05:09PM",777-666,Matuê,3sGcETRMuAgcPgjDpIkgMn,https://open.spotify.com/track/3sGcETRMuAgcPgjDpIkgMn
"December 6, 2024 at 05:12PM",A Morte do Autotune,Matuê,4MF0VMffyxHsy3GZwwUnAs,https://open.spotify.com/track/4MF0VMffyxHsy3GZwwUnAs
"December 6, 2024 at 05:15PM",F* F* M*,Filipe Ret,0cHflpV8SSGbE0NKaasEfT,https://open.spotify.com/track/0cHflpV8SSGbE0NKaasEfT
"December 6, 2024 at 06:03PM",M4,Teto,07AQkmp456NpEnT8HR7WLy,https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy
"December 6, 2024 at 06:09PM",Barbarian,Juice WRLD,7EBy2V93Ykyvfc5CMApTGc,https://open.spotify.com/track/7EBy2V93Ykyvfc5CMApTGc
"December 6, 2024 at 06:12PM",Burn,Juice WRLD,1X8E4vVoOM3BpSQlEDSjjM,https://open.spotify.com/track/1X8E4vVoOM3BpSQlEDSjjM
"December 6, 2024 at 06:13PM",War,Filipe Ret,63400Pm7x5Awe4NH82oRYe,https://open.spotify.com/track/63400Pm7x5Awe4NH82oRYe
"December 6, 2024 at 06:15PM",Stay High,Juice WRLD,21CkzgKCBCq5V4XKjiGSIj,https://open.spotify.com/track/21CkzgKCBCq5V4XKjiGSIj
"December 6, 2024 at 06:17PM",Hurt Me,Juice WRLD,3XRQT7EoS4U87rUuJwg5P3,https://open.spotify.com/track/3XRQT7EoS4U87rUuJwg5P3
"December 6, 2024 at 06:19PM",Reminds Me Of You,Juice WRLD,5YSHygGN9D0mID1NsVd5my,https://open.spotify.com/track/5YSHygGN9D0mID1NsVd5my
"December 6, 2024 at 06:22PM",1400 / 999 Freestyle (feat. Juice WRLD),Trippie Redd,0axBgt9y0GvMCLuRl2xBKG,https://open.spotify.com/track/0axBgt9y0GvMCLuRl2xBKG
"December 6, 2024 at 06:25PM",Armed And Dangerous,Juice WRLD,5wujBwqG7INdStqGd4tRMX,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
"December 6, 2024 at 06:28PM",Lean Wit Me,Juice WRLD,3oDkdAySo1VQQG0ptV7uwa,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
"December 6, 2024 at 06:32PM",Empty,Juice WRLD,3T06rGO2dVEntMvym0vpQu,https://open.spotify.com/track/3T06rGO2dVEntMvym0vpQu
"December 6, 2024 at 06:35PM",Conversations,Juice WRLD,4K06PO78fW4mnBVenxGNob,https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob
